happiness_score,gdp_per_capita,freedom,corruption,generosity,year
7.587,1.39651,0.66557,0.41978,0.29678,2015
7.561,1.30232,0.62877,0.14145,0.4363,2015
7.527,1.32548,0.64938,0.48357,0.34139,2015
7.522,1.459,0.66973,0.36503,0.34699,2015
7.427,1.32629,0.63297,0.32957,0.45811,2015
7.406,1.29025,0.64169,0.41372,0.23351,2015
7.378,1.32944,0.61576,0.31814,0.4761,2015
7.364,1.33171,0.6598,0.43844,0.36262,2015
7.286,1.25018,0.63938,0.42922,0.47501,2015
7.284,1.33358,0.65124,0.35637,0.43562,2015
7.278,1.22857,0.41319,0.07785,0.33172,2015
7.226,0.95578,0.63376,0.10583,0.25497,2015
7.2,1.33723,0.62433,0.18676,0.33088,2015
7.187,1.02054,0.48181,0.21312,0.14074,2015
7.119,1.39451,0.54604,0.1589,0.40105,2015
6.983,0.98124,0.49049,0.17521,0.14574,2015
6.946,1.56391,0.61583,0.37798,0.28034,2015
6.94,1.33596,0.61777,0.28703,0.45901,2015
6.937,1.30782,0.5845,0.2254,0.2225,2015
6.901,1.42727,0.64157,0.38583,0.26428,2015
6.867,1.26637,0.59625,0.32067,0.51912,2015
6.853,1.36011,0.63274,0.32524,0.21542,2015
6.81,1.04424,0.42908,0.11069,0.05841,2015
6.798,1.52186,0.54252,0.4921,0.31105,2015
6.786,1.06353,0.5421,0.0927,0.24434,2015
6.75,1.32792,0.61477,0.21843,0.28214,2015
6.67,1.10715,0.44132,0.12869,0.33363,2015
6.611,1.69042,0.6404,0.52208,0.32573,2015
6.575,1.27778,0.55011,0.20646,0.12332,2015
6.574,1.05351,0.44974,0.08484,0.11451,2015
6.505,1.17898,0.46364,0.02652,0.10686,2015
6.485,1.06166,0.60362,0.24558,0.2324,2015
6.477,0.91861,0.53466,0.0512,0.18401,2015
6.455,0.9669,0.55664,0.03187,0.5763,2015
6.411,1.39541,0.31048,0.32524,0.13706,2015
6.329,1.23011,0.45951,0.06398,0.18227,2015
6.302,1.2074,0.60365,0.13586,0.51752,2015
6.298,1.29098,0.3974,0.08129,0.25376,2015
6.295,1.55422,0.55499,0.25609,0.16228,2015
6.269,0.99534,0.59657,0.13633,0.16991,2015
6.168,1.21183,0.55884,0.0114,0.31844,2015
6.13,0.76454,0.4035,0.11776,0.10692,2015
6.123,0.74553,0.57733,0.09472,0.27489,2015
6.003,0.63244,0.65821,0.30826,0.22837,2015
5.995,1.16891,0.31751,0.03431,0.16893,2015
5.987,1.27074,0.49615,0.1806,0.10705,2015
5.984,1.24461,0.33208,0.07857,0.18557,2015
5.975,0.86402,0.48574,0.1809,0.11541,2015
5.96,1.32376,0.45492,0.306,0.17362,2015
5.948,1.25114,0.26236,0.02901,0.22823,2015
5.89,0.68133,0.57414,0.088,0.20536,2015
5.889,0.59448,0.32818,0.01615,0.20951,2015
5.878,0.75985,0.53899,0.08242,0.3424,2015
5.855,1.12254,0.51649,0.08454,0.11827,2015
5.848,1.18498,0.60855,0.03787,0.25328,2015
5.833,1.14723,0.21342,0.01031,0.02641,2015
5.828,0.59325,0.55475,0.19317,0.27815,2015
5.824,0.90019,0.41496,0.05989,0.14982,2015
5.813,1.03192,0.37938,0.1909,0.11046,2015
5.791,1.12555,0.53122,0.04212,0.16759,2015
5.77,1.12486,0.53024,0.10501,0.33075,2015
5.759,1.08254,0.25883,0.0243,0.05444,2015
5.754,1.13145,0.41668,0.11023,0.18295,2015
5.716,1.13764,0.36679,0.03005,0.00199,2015
5.709,0.81038,0.50442,0.02299,0.2123,2015
5.695,1.20806,0.49027,0.1428,0.26169,2015
5.689,1.20813,0.40672,0.06146,0.30638,2015
5.605,0.93929,0.28579,0.17383,0.07822,2015
5.589,0.80148,0.24749,0.04741,0.2831,2015
5.548,0.95847,0.4761,0.30844,0.16979,2015
5.477,1.00761,0.56066,0.07521,0.37744,2015
5.474,1.38604,0.59608,0.37124,0.39478,2015
5.429,1.15174,0.44888,0.15184,0.0868,2015
5.399,0.82827,0.46611,0.0,0.51535,2015
5.36,0.63216,0.59444,0.10441,0.1686,2015
5.332,1.06098,0.22815,0.15746,0.12253,2015
5.286,0.47428,0.43477,0.04232,0.3003,2015
5.268,0.65435,0.34334,0.0403,0.27233,2015
5.253,0.77042,0.53206,0.15445,0.47998,2015
5.212,1.02389,0.3703,0.16065,0.07799,2015
5.194,0.59543,0.12102,0.10464,0.33671,2015
5.192,0.90198,0.40661,0.14293,0.11053,2015
5.192,0.97438,0.1826,0.14296,0.1614,2015
5.14,0.89012,0.51697,0.02781,0.08185,2015
5.129,0.47038,0.48827,0.12468,0.19591,2015
5.124,1.04345,0.35068,0.00649,0.13748,2015
5.123,0.92053,0.20107,0.02617,0.19231,2015
5.102,1.15991,0.51469,0.01078,0.13719,2015
5.098,1.11312,0.29671,0.06332,0.18226,2015
5.073,0.70532,0.62545,0.12279,0.24991,2015
5.057,0.18847,0.46582,0.39928,0.50318,2015
5.013,0.73479,0.41691,0.08546,0.07172,2015
5.007,0.91851,0.33457,0.05327,0.22359,2015
4.971,0.08308,0.34037,0.15603,0.22269,2015
4.959,0.87867,0.35733,0.06413,0.14272,2015
4.949,0.83223,0.09245,0.00227,0.24808,2015
4.898,0.37545,0.31767,0.12504,0.16388,2015
4.885,0.89537,0.57672,0.14234,0.21684,2015
4.876,0.59066,0.59591,0.24249,0.42192,2015
4.874,0.82819,0.43626,0.02666,0.3323,2015
4.867,0.71206,0.30658,0.0306,0.18259,2015
4.857,1.15406,0.07699,0.01397,0.0,2015
4.839,1.02564,0.33916,0.04582,0.21854,2015
4.8,1.12094,0.32112,0.02758,0.128,2015
4.788,0.59532,0.40148,0.06825,0.23027,2015
4.786,0.39047,0.47216,0.15072,0.22974,2015
4.739,0.88113,0.26268,0.06358,0.06431,2015
4.715,0.59867,0.24499,0.12905,0.11251,2015
4.694,0.39753,0.4082,0.12569,0.21222,2015
4.686,1.0088,0.30033,0.05863,0.38086,2015
4.681,0.79907,0.25123,0.02961,0.15275,2015
